partida_id,clube,atleta,minuto,tipo_de_gol
5037,Cruzeiro,Gabriel Xavier,46,gol normal
5037,Atletico-MG,Luan Madson Gedeão de Paiva,13,gol normal
5037,Cruzeiro,Jemerson de Jesus Nascimento,45,Gol Contra
5039,Ponte Preta,Renato Cajá,72,gol normal
5039,Ponte Preta,Felipe Azevedo,53,gol normal
5039,Santos,Geuvânio,23,gol normal
5039,Santos,Ricardo Oliveira,61,Penalty
5041,Corinthians,Jadson,31,gol normal
5040,Athletico-PR,Nikão,60,Penalty
5040,Athletico-PR,Ytalo José dos Santos,90,gol normal
5042,Sao Paulo,Rogério Ceni,56,Penalty
5042,Sao Paulo,Luís Fabiano,27,gol normal
5043,Internacional,Victor Vinícius Coelho Santos,26,gol normal
5043,Internacional,Nilmar,36,gol normal
5045,Avai,Rômulo,90,gol normal
5044,Palmeiras,Gabriel Girotto Franco,11,gol normal
5044,Figueirense,Thiago Santos Santana,62,gol normal
5044,Figueirense,Carlos Alberto Gomes de Jesus,8,gol normal
5047,Santos,Gabriel Barbosa,54,gol normal
5047,Atletico-MG,Werley Ananias da Silva,28,Gol Contra
5047,Santos,Ricardo Oliveira,19,gol normal
5047,Atletico-MG,Jesús Dátolo,43,gol normal
5050,Corinthians,Vágner Love,67,gol normal
5050,Corinthians,Jadson,51,gol normal
5050,Internacional,Nilmar,41,gol normal
5049,Sao Paulo,Josef de Souza Dias,6,gol normal
5048,Flamengo,Eduardo da Silva,39,gol normal
5051,Joinville,Marcelinho Paraíba,79,gol normal
5051,Sport,Maikon Leite,39,gol normal
5051,Sport,Maikon Leite,16,gol normal
5052,Cruzeiro,Charles Fernando Basílio da Silva,58,gol normal
5052,Cruzeiro,Leandro Damião,74,gol normal
5052,Cruzeiro,Leandro Damião,38,gol normal
5052,Vasco,Rodrigo Baldasso da Costa,88,gol normal
5055,Palmeiras,Jonatan Cristaldo,90,gol normal
5055,Palmeiras,Rafael Marques Mariano,45,gol normal
5055,Fluminense,Jean Raphael Vanderlei Moreira,17,gol normal
5054,Figueirense,Marcos Roberto da Silva Barbosa,15,gol normal
5054,Avai,Anderson Lopes,36,gol normal
5056,Athletico-PR,Hernani Azevedo Junior,52,gol normal
5056,Gremio,Luiz Rhodolfo Dini Gaioto,71,gol normal
5056,Gremio,Giuliano Victor de Paula,33,gol normal
5058,Vasco,Duvier Riascos,42,gol normal
5058,Sport,Wendel Geraldo Maurício e Silva,81,gol normal
5058,Sport,André Felipe Ribeiro de Souza,20,gol normal
5059,Atletico-MG,Samir,22,Gol Contra
5059,Atletico-MG,Lucas Pratto,41,gol normal
5060,Santos,Ricardo Oliveira,10,gol normal
5061,Gremio,Maicon,55,gol normal
5062,Chapecoense,Camilo,36,gol normal
5063,Joinville,Everton Kempes dos Santos Gonçalves,35,gol normal
5063,Goias,Wesley,26,gol normal
5063,Joinville,Everton Kempes dos Santos Gonçalves,45,gol normal
5065,Avai,André Lima,89,gol normal
5065,Sao Paulo,Josef de Souza Dias,55,gol normal
5064,Athletico-PR,Edigar Junio,82,gol normal
5064,Athletico-PR,Walter Henrique da Silva,25,gol normal
5064,Coritiba,Ruy Franco de Almeida Junior,77,gol normal
5064,Coritiba,Wellington Paulista,19,gol normal
5066,Fluminense,Vinícius,90,gol normal
5066,Fluminense,Wellington do Nascimento Silva,55,gol normal
5067,Avai,Anderson Lopes,56,Penalty
5067,Gremio,Luan Guilherme de Jesus Vieira,10,gol normal
5067,Gremio,Pedro Rocha Neves,1,gol normal
5068,Sport,Rithely,29,gol normal
5068,Chapecoense,Bruno Rangel,88,gol normal
5069,Figueirense,Thiago Santos Santana,73,gol normal
5069,Corinthians,Vágner Love,55,gol normal
5069,Corinthians,Jadson,65,Penalty
5070,Atletico-MG,Leonardo Silva,34,gol normal
5071,Palmeiras,Rafael Marques Mariano,58,gol normal
5071,Palmeiras,Victor Ramos,41,gol normal
5071,Palmeiras,Leandro,32,gol normal
5071,Palmeiras,Jonatan Cristaldo,72,gol normal
5072,Fluminense,Edson Felipe da Cruz,62,gol normal
5072,Fluminense,Wagner Ferreira dos Santos,53,gol normal
5072,Goias,Erik Nascimento de Lima,34,gol normal
5073,Athletico-PR,Nikão,28,gol normal
5073,Ponte Preta,Felipe Azevedo,70,gol normal
5073,Ponte Preta,Renato Cajá,30,gol normal
5074,Coritiba,Rafhael Lucas,62,gol normal
5075,Vasco,Duvier Riascos,16,gol normal
5076,Internacional,Valdívia,77,gol normal
5077,Sport,Jonathan Marlone,30,gol normal
5077,Sport,André Felipe Ribeiro de Souza,36,gol normal
5077,Sport,André Felipe Ribeiro de Souza,10,Penalty
5078,Vasco,Emanuel Biancucchi,69,gol normal
5079,Palmeiras,Jonatan Cristaldo,70,gol normal
5079,Palmeiras,Egídio de Araújo Pereira Júnior,28,gol normal
5080,Atletico-MG,Thiago Ribeiro,45,gol normal
5080,Atletico-MG,Thiago Ribeiro,67,gol normal
5082,Gremio,Douglas dos Santos,69,Penalty
5081,Flamengo,Emerson Sheik,55,gol normal
5083,Athletico-PR,Marcos Guilherme,58,gol normal
5083,Athletico-PR,Gustavo Schiavolin,36,gol normal
5083,Sao Paulo,Ricardo Centurión,72,gol normal
5085,Figueirense,Thiago Santos Santana,24,gol normal
5085,Goias,Felipe Menezes,47,gol normal
5085,Figueirense,Paulo Roberto da Silva,80,gol normal
5085,Figueirense,Clayton da Silveira da Silva,34,gol normal
5084,Corinthians,Vágner Love,90,gol normal
5084,Corinthians,Jadson,41,gol normal
5086,Fluminense,Fred,40,gol normal
5086,Santos,Ricardo Oliveira,54,gol normal
5086,Fluminense,Lucas Gomes,80,gol normal
5089,Cruzeiro,Giorgian De Arrascaeta,41,gol normal
5089,Cruzeiro,Mário Sérgio Santos Costa,73,gol normal
5088,Chapecoense,Hélio Hermito Zampier Neto,75,gol normal
5090,Sport,André Felipe Ribeiro de Souza,90,Penalty
5090,Sport,Diego Souza,21,gol normal
5090,Avai,Renan Martins Pereira,38,gol normal
5090,Avai,Samuel Xavier,40,Gol Contra
5093,Santos,Ricardo Oliveira,65,gol normal
5093,Gremio,Yuri Mamute,81,gol normal
5093,Gremio,Rafael Galhardo,49,gol normal
5093,Gremio,Pedro Rocha Neves,4,gol normal
5094,Palmeiras,Eduardo Pereira Rodrigues,9,gol normal
5094,Palmeiras,Eduardo Pereira Rodrigues,40,gol normal
5095,Figueirense,Fabinho,90,gol normal
5095,Figueirense,Ricardo de Souza Silva,61,gol normal
5095,Flamengo,Alan Patrick,47,gol normal
5096,Atletico-MG,Thiago Ribeiro,79,gol normal
5096,Atletico-MG,Maicosuel,77,gol normal
5096,Atletico-MG,Maicosuel,59,gol normal
5096,Internacional,Lisandro López,86,gol normal
5098,Goias,Carlos Eduardo Ferreira de Souza,62,gol normal
5098,Goias,Fred,52,gol normal
5098,Santos,Ricardo Oliveira,90,Penalty
5098,Goias,Felipe Menezes,59,gol normal
5098,Goias,Felipe Menezes,48,Penalty
5097,Chapecoense,Bruno Rangel,77,gol normal
5101,Palmeiras,Lucas Rios Marques,65,gol normal
5101,Palmeiras,Rafael Marques Mariano,8,gol normal
5101,Palmeiras,Jonatan Cristaldo,89,gol normal
5100,Joinville,Everton Kempes dos Santos Gonçalves,61,gol normal
5100,Joinville,Everton Kempes dos Santos Gonçalves,12,gol normal
5102,Sport,Matheus Ferraz Pereira,50,gol normal
5102,Atletico-MG,Giovanni Augusto,54,gol normal
5102,Atletico-MG,Lucas Pratto,47,gol normal
5103,Flamengo,Éverton Cardoso da Silva,66,gol normal
5103,Flamengo,Paolo Guerrero,11,gol normal
5103,Internacional,Ernando Rodrigues Lopes,90,gol normal
5104,Sao Paulo,Alexandre Pato,13,gol normal
5104,Sao Paulo,Gabriel Boschilia,90,gol normal
5104,Sao Paulo,Wesley Lopes Beltrame,49,gol normal
5104,Sao Paulo,Michel Bastos,18,gol normal
5105,Corinthians,Elias Mendes Trindade,34,gol normal
5105,Corinthians,Jadson,77,gol normal
5106,Fluminense,Gustavo Scarpa,74,gol normal
5107,Santos,Lucas Rafael Araújo Lima,46,gol normal
5107,Santos,David Braz,31,gol normal
5107,Santos,Gabriel Barbosa,63,gol normal
5108,Gremio,Anderson Salles,60,Gol Contra
5108,Gremio,Pedro Rocha Neves,81,gol normal
5109,Atletico-MG,Giovanni Augusto,88,gol normal
5109,Atletico-MG,Thiago Ribeiro,28,gol normal
5110,Coritiba,Marcos Aurélio de Oliveira Lima,60,gol normal
5110,Sao Paulo,Alexandre Pato,90,gol normal
5110,Sao Paulo,Alexandre Pato,45,gol normal
5110,Sao Paulo,Ricardo Centurión,15,gol normal
5112,Corinthians,Jadson,63,gol normal
5112,Corinthians,Uendel Pereira Gonçalves,45,gol normal
5112,Corinthians,Elias Mendes Trindade,26,gol normal
5111,Internacional,Victor Vinícius Coelho Santos,45,Penalty
5111,Internacional,Réver,33,gol normal
5113,Fluminense,Fred,90,gol normal
5113,Fluminense,Gustavo Scarpa,52,gol normal
5113,Athletico-PR,Sidcley Ferreira Pereira,69,gol normal
5114,Cruzeiro,Joel Tagueu,38,gol normal
5115,Palmeiras,Leandro,59,gol normal
5115,Palmeiras,Leandro,44,gol normal
5115,Sport,André Felipe Ribeiro de Souza,90,gol normal
5115,Sport,Matheus Ferraz Pereira,22,gol normal
5116,Chapecoense,Bruno Rangel,48,gol normal
5116,Avai,William Júnior Salles de Lima Souza,19,gol normal
5116,Avai,Emerson dos Santos da Silva,10,gol normal
5117,Goias,Felipe Menezes,80,Penalty
5117,Internacional,Eduardo,58,gol normal
5117,Internacional,Eduardo Sasha,88,gol normal
5118,Flamengo,Paolo Guerrero,41,gol normal
5119,Corinthians,Malcom Filipe Silva de Oliveira,42,gol normal
5120,Athletico-PR,Hernani Azevedo Junior,52,gol normal
5123,Vasco,Andrezinho,39,gol normal
5123,Fluminense,Marcos Júnior,59,gol normal
5123,Vasco,Jhon Cley,70,gol normal
5124,Palmeiras,Leandro,15,gol normal
5122,Sport,Wéverton Almeida Santos,90,gol normal
5122,Sport,José Élber Pimentel da Silva,34,gol normal
5125,Avai,André Lima,82,gol normal
5125,Cruzeiro,Marcos Vinícius de Jesus Araújo,13,gol normal
5126,Ponte Preta,Fernando Paixão da Silva,74,Penalty
5126,Joinville,Silvinho,55,gol normal
5127,Athletico-PR,Marcos Guilherme,90,gol normal
5127,Athletico-PR,Marcos Guilherme,43,gol normal
5127,Avai,Rômulo,84,gol normal
5128,Sport,Diego Souza,63,gol normal
5128,Gremio,Pedro Rocha Neves,45,gol normal
5129,Atletico-MG,Lucas Pratto,63,Penalty
5131,Santos,Gabriel Barbosa,18,gol normal
5131,Santos,Gabriel Barbosa,4,gol normal
5130,Fluminense,Edson Felipe da Cruz,29,gol normal
5130,Chapecoense,Bruno Rangel,90,Penalty
5130,Chapecoense,Bruno Rangel,27,gol normal
5135,Flamengo,Marcelo Cirino da Silva,72,gol normal
5133,Corinthians,Felipe Augusto de Almeida Monteiro,41,gol normal
5133,Coritiba,Evandro da Silva,90,gol normal
5134,Sao Paulo,Alexandre Pato,45,gol normal
5136,Palmeiras,Leandro,4,gol normal
5136,Palmeiras,Victor Ramos,35,gol normal
5136,Vasco,Duvier Riascos,69,gol normal
5136,Palmeiras,Eduardo Pereira Rodrigues,18,gol normal
5136,Palmeiras,Leandro,55,gol normal
5137,Corinthians,Renato Augusto,47,gol normal
5137,Corinthians,Elias Mendes Trindade,77,gol normal
5137,Corinthians,Carlos Gilberto do Nascimento Silva,61,gol normal
5138,Atletico-MG,Lucas Pratto,26,gol normal
5138,Atletico-MG,Lucas Pratto,20,gol normal
5138,Sao Paulo,Alexandre Pato,59,gol normal
5138,Atletico-MG,Lucas Pratto,44,gol normal
5139,Fluminense,Marcos Júnior,77,gol normal
5141,Athletico-PR,Walter Henrique da Silva,77,gol normal
5140,Coritiba,Evandro da Silva,90,gol normal
5140,Goias,Liniker da Silva Moreira,69,gol normal
5142,Joinville,Jeci,40,Gol Contra
5142,Joinville,Guti,61,gol normal
5144,Figueirense,João Vitor Lima Gomes,4,gol normal
5144,Ponte Preta,Renato de Araújo Chaves Júnior,51,gol normal
5144,Figueirense,Dudu,90,gol normal
5144,Figueirense,Marcos Roberto da Silva Barbosa,74,gol normal
5145,Flamengo,Alan Patrick,40,gol normal
5145,Santos,Lucas Rafael Araújo Lima,72,gol normal
5145,Santos,Ricardo Oliveira,52,gol normal
5145,Flamengo,Emerson Sheik,42,gol normal
5147,Avai,André Lima,6,gol normal
5148,Santos,Ivan Aparecido Martins,43,Gol Contra
5148,Santos,Ricardo Oliveira,60,gol normal
5148,Santos,Geuvânio,20,gol normal
5149,Sport,Jonathan Marlone,16,gol normal
5149,Athletico-PR,Christián Vilches,90,gol normal
5153,Ponte Preta,Pablo Castro,71,gol normal
5152,Cruzeiro,Giorgian De Arrascaeta,82,gol normal
5152,Cruzeiro,Alisson Euler de Freitas Castro,5,gol normal
5152,Palmeiras,Jonatan Cristaldo,74,gol normal
5151,Corinthians,Luciano da Rocha Neves,21,gol normal
5151,Sao Paulo,Luís Fabiano,48,gol normal
5155,Gremio,Luan Guilherme de Jesus Vieira,43,gol normal
5155,Gremio,Giuliano Victor de Paula,35,gol normal
5155,Gremio,Luiz Fernando Pereira da Silva,76,gol normal
5155,Gremio,Réver,84,Gol Contra
5155,Gremio,Luan Guilherme de Jesus Vieira,49,gol normal
5156,Chapecoense,Tiago Luís Martins,56,gol normal
5156,Chapecoense,Bruno Rangel,50,gol normal
5156,Figueirense,Marcos Assis de Santana,89,gol normal
5156,Figueirense,Dudu,83,gol normal
5158,Flamengo,Alan Patrick,45,gol normal
5158,Flamengo,Emerson Sheik,40,gol normal
5158,Athletico-PR,Kadu,65,gol normal
5158,Flamengo,Wallace Reis da Silva,12,gol normal
5158,Athletico-PR,Hernani Azevedo Junior,25,gol normal
5157,Coritiba,Henrique Almeida,82,gol normal
5157,Coritiba,Henrique Almeida,18,gol normal
5157,Palmeiras,Rafael Marques Mariano,46,gol normal
5159,Santos,Victor Ferraz,49,gol normal
5161,Sao Paulo,Rogério Ceni,27,Penalty
5161,Sao Paulo,Alexandre Pato,14,gol normal
5162,Internacional,Victor Vinícius Coelho Santos,82,gol normal
5163,Sport,André Felipe Ribeiro de Souza,17,gol normal
5163,Corinthians,Luciano da Rocha Neves,45,gol normal
5163,Corinthians,Samuel Xavier,60,Gol Contra
5163,Sport,Hernane Vidal de Souza,77,gol normal
5163,Corinthians,Luciano da Rocha Neves,13,gol normal
5163,Corinthians,Jadson,87,Penalty
5163,Sport,Hernane Vidal de Souza,72,gol normal
5164,Ponte Preta,Felipe Azevedo,73,gol normal
5164,Ponte Preta,Borges,60,gol normal
5166,Gremio,Douglas dos Santos,41,gol normal
5166,Gremio,Luan Guilherme de Jesus Vieira,55,gol normal
5165,Joinville,Mariano Trípodi,72,gol normal
5165,Joinville,Bruno Aguiar,27,gol normal
5165,Joinville,Marcelinho Paraíba,14,gol normal
5167,Coritiba,Evandro da Silva,90,gol normal
5169,Goias,Erik Nascimento de Lima,45,gol normal
5169,Goias,Felipe Menezes,27,gol normal
5169,Goias,Erik Nascimento de Lima,77,gol normal
5170,Palmeiras,Alecsandro,71,gol normal
5170,Palmeiras,Samir,58,Gol Contra
5170,Palmeiras,Eduardo Pereira Rodrigues,66,gol normal
5170,Flamengo,Ederson Honorato Campos,57,gol normal
5170,Palmeiras,Jackson de Souza,6,gol normal
5170,Flamengo,Ederson Honorato Campos,51,gol normal
5172,Fluminense,Fred,65,gol normal
5172,Figueirense,Clayton da Silveira da Silva,41,Penalty
5172,Fluminense,Cícero Santos,49,gol normal
5174,Sport,Diego Souza,10,gol normal
5174,Ponte Preta,Borges,82,gol normal
5171,Corinthians,Luciano da Rocha Neves,45,gol normal
5171,Avai,André Lima,15,gol normal
5171,Corinthians,Luciano da Rocha Neves,87,gol normal
5175,Joinville,Bruno Aguiar,3,gol normal
5175,Gremio,Rafael Galhardo,84,gol normal
5175,Gremio,Frickson Erazo,61,gol normal
5176,Atletico-MG,Hélio Hermito Zampier Neto,64,Gol Contra
5176,Chapecoense,Apodi,78,gol normal
5176,Chapecoense,Cléber Santana,41,gol normal
5177,Goias,Erik Nascimento de Lima,77,Penalty
5177,Goias,Erik Nascimento de Lima,17,Penalty
5177,Goias,Zé Love,4,gol normal
5178,Avai,Léo Gamalho,29,gol normal
5178,Santos,Gabriel Barbosa,11,gol normal
5178,Santos,Nilson,81,gol normal
5178,Santos,Ricardo Oliveira,48,gol normal
5178,Santos,Lucas Rafael Araújo Lima,90,Penalty
5178,Avai,Léo Gamalho,83,gol normal
5178,Santos,Thiago Maia,14,gol normal
5179,Sport,Renê Rodrigues Martins,32,gol normal
5179,Figueirense,Bruno Alves,70,gol normal
5179,Figueirense,Dudu,63,gol normal
5180,Coritiba,Henrique Almeida,24,gol normal
5182,Fluminense,Cícero Santos,71,gol normal
5182,Joinville,Mario Sérgio,83,gol normal
5182,Joinville,Marlon,90,Gol Contra
5183,Internacional,Valdívia,4,gol normal
5183,Internacional,Paulo Marcos de Jesus Ribeiro,70,gol normal
5184,Corinthians,Jadson,44,gol normal
5184,Corinthians,Vágner Love,48,gol normal
5184,Corinthians,Vágner Love,15,gol normal
5185,Sao Paulo,Luiz Eduardo,36,gol normal
5185,Flamengo,Paolo Guerrero,48,gol normal
5185,Flamengo,Ederson Honorato Campos,42,gol normal
5186,Atletico-MG,Lucas Pratto,18,gol normal
5186,Atletico-MG,Lucas Pratto,37,Penalty
5186,Palmeiras,Andrei Girotto,5,gol normal
5187,Figueirense,Marcos Assis de Santana,90,gol normal
5188,Sao Paulo,Paulo Henrique Ganso,50,gol normal
5188,Sao Paulo,Michel Bastos,35,gol normal
5188,Sao Paulo,Wilder Guisao,53,gol normal
5190,Avai,Léo Gamalho,69,Penalty
5190,Avai,Néstor Camacho,90,gol normal
5190,Avai,Léo Gamalho,84,gol normal
5191,Joinville,Marcelinho Paraíba,28,gol normal
5191,Palmeiras,Gabriel Jesus,1,gol normal
5191,Joinville,Marcelinho Paraíba,27,gol normal
5191,Palmeiras,Eduardo Pereira Rodrigues,24,gol normal
5191,Palmeiras,Gabriel Jesus,68,gol normal
5192,Atletico-MG,Patric Cabral Lalau,83,gol normal
5192,Atletico-MG,Giovanni Augusto,22,gol normal
5192,Fluminense,Wellington Paulista,47,gol normal
5193,Flamengo,Éverton Cardoso da Silva,5,gol normal
5194,Corinthians,Jadson,90,Penalty
5194,Corinthians,Vágner Love,14,gol normal
5194,Corinthians,Elias Mendes Trindade,10,gol normal
5194,Chapecoense,Bruno Rangel,45,gol normal
5195,Santos,Ricardo Oliveira,43,gol normal
5196,Athletico-PR,Ewandro,90,gol normal
5196,Athletico-PR,Walter Henrique da Silva,78,Penalty
5196,Athletico-PR,Walter Henrique da Silva,27,gol normal
5198,Cruzeiro,Willians Domingos Fernandes,43,gol normal
5198,Ponte Preta,Biro-Biro,59,gol normal
5198,Cruzeiro,Vinícius Vasconcelos Araújo,90,gol normal
5199,Internacional,Lisandro López,53,gol normal
5199,Internacional,Nílton Ferreira Júnior,63,gol normal
5199,Internacional,Eduardo Sasha,40,gol normal
5199,Internacional,Valdívia,58,gol normal
5199,Internacional,Ernando Rodrigues Lopes,11,gol normal
5199,Internacional,Lisandro López,90,gol normal
5201,Athletico-PR,Walter Henrique da Silva,58,Penalty
5200,Flamengo,Alan Patrick,31,gol normal
5200,Flamengo,Kayke Moreno,76,gol normal
5200,Flamengo,Kayke Moreno,55,gol normal
5204,Goias,Bruno Henrique,63,gol normal
5203,Corinthians,Ralf de Souza Teles,71,gol normal
5203,Corinthians,Marciel Silva da Silva,5,gol normal
5205,Santos,Geuvânio,58,gol normal
5205,Santos,Ricardo Oliveira,76,gol normal
5205,Santos,Ricardo Oliveira,16,gol normal
5205,Chapecoense,Hélio Hermito Zampier Neto,83,gol normal
5206,Gremio,Pedro Rocha Neves,78,gol normal
5206,Gremio,Deyvison Rogério da Silva,7,gol normal
5207,Sao Paulo,José Rogério de Oliveira Melo,49,gol normal
5207,Sao Paulo,Michel Bastos,72,gol normal
5208,Atletico-MG,Lucas Pratto,24,Penalty
5208,Vasco,Nenê,74,Penalty
5208,Atletico-MG,Jesús Dátolo,43,gol normal
5210,Figueirense,Marquinhos Pedroso,66,gol normal
5210,Cruzeiro,Willian Gomes de Siqueira,28,gol normal
5210,Cruzeiro,Vinícius Vasconcelos Araújo,61,gol normal
5210,Cruzeiro,Willian Gomes de Siqueira,4,gol normal
5210,Cruzeiro,Willian Gomes de Siqueira,75,gol normal
5210,Cruzeiro,Willian Gomes de Siqueira,72,gol normal
5212,Goias,Bruno Henrique,44,gol normal
5212,Gremio,Everton Sousa Soares,83,gol normal
5212,Gremio,Douglas dos Santos,52,gol normal
5213,Corinthians,Vágner Love,79,gol normal
5213,Palmeiras,Lucas Rios Marques,19,gol normal
5213,Corinthians,Guilherme Arana,25,gol normal
5213,Palmeiras,Eduardo Pereira Rodrigues,42,gol normal
5213,Corinthians,Willian José de Souza,38,Gol Contra
5213,Palmeiras,Róbson Michael Signorini,26,gol normal
5215,Flamengo,Kayke Moreno,15,gol normal
5215,Flamengo,Emerson Sheik,10,gol normal
5215,Fluminense,Jean Raphael Vanderlei Moreira,58,Penalty
5215,Flamengo,Paulinho,68,gol normal
5214,Coritiba,Henrique Almeida,83,gol normal
5214,Coritiba,Henrique Almeida,65,gol normal
